id,phrase,phrase_ja,phrase_part1,phrase_part2,phrase_part3,phrase_part4,file_name,lesson_id
155,The fuel cap of this vehicle is on right (left) side.,この車の給油口は右（左）に付いています。,the fuel cap,of this vehicle,is on,right (left) side,sound_phrase_155.mp3,14
156,"For unlocking the car, press the switch for unlock on the key.",ドアロックを解除する時はキーの解除スイッチを押してください。,for unlocking,"the car, press",the switch for,unlock on the key,sound_phrase_156.mp3,14
157,You can unlock the car by pushing the switch nearby the doorknob while having key.,キーを持ってドアノブの近くにあるスイッチを押すと車の施錠ができます。,you can unlock,the car by pushing,the switch nearby the,doorknob while having key,sound_phrase_157.mp3,14
158,"Upon starting the engine, please step on the brake pedal and twist the ignition switch.",エンジンを始動する時はブレーキを踏みながらイグニッションキーを回してください。,upon starting,"the engine, please step",on the brake pedal and,twist the ignition switch,sound_phrase_158.mp3,14
159,"To start and stop the engine, please step on the brake pedal and press starter.",エンジンを始動または止める時はブレーキを踏みながらスターターを押してください。,to start and,"stop the engine, please",step on the brake pedal,and press starter,sound_phrase_159.mp3,14
160,"LAFESTA,SERENA and ELGRAND are equipped with the automatic sliding door system at rear seats.",ラフェスタ、セレナ、エルグランドは自動スライドドアの機能が後部座席に付いています。,"LAFESTA,SERENA and ELGRAND are",equipped with the automatic,sliding door system at,rear seats,sound_phrase_160.mp3,14
161,"To open the sliding door, pull doorknob or hold down the switch at driver's seat.",スライドドアを開ける時は、ドアノブを引くか運転席にあるスイッチを長押ししてください。,to open the,"sliding door, pull",doorknob or hold down,the switch at driver's seat,sound_phrase_161.mp3,14
162,Emergency braking system can assist drivers in avoiding collisions with vehicles and pedestrians.,エマージェンシーブレーキとは前方の車両や歩行者との衝突回避操作を支援する機能です。,emergency braking system can,assist drivers in avoiding,collisions with,vehicles and pedestrians,sound_phrase_162.mp3,14
163,But it may not work in certain circumstances. Please drive safely.,ただ、あらゆる状況で作動するわけではありませんので、安全運転を常に心がけてください。,but it may not,work in certain,circumstances. Please,drive safely,sound_phrase_163.mp3,14
164,"The Lane Departure Warning system detect straying from driving lane, alert to drivers with sound.",車線逸脱警報機能が走行車線から逸脱を検知した場合、音で運転者に警告します。,the Lane Departure Warning system ,detect straying,"from driving lane,",alert to drivers with sound,sound_phrase_164.mp3,14
165,This sound is a warning.No car trouble.Please drive safely.,この音は警告音です。故障ではありません。安全運転でお願いします。,this sound,is a warning.No,car trouble. Please,drive safely,sound_phrase_165.mp3,14
166,I'll explain how to put on the parking brake.,パーキングブレーキのかけ方を説明します。,I'll explain,how to,put on,the parking brake,sound_phrase_166.mp3,15
167,"To set a parking brake, step on brake with right foot,parking brake with left foot.",右足でブレーキペダルを踏みながら左足でパーキングブレーキを踏んでください。,to set a parking,"brake, step on brake","with right foot,parking",brake with left foot,sound_phrase_167.mp3,15
168,I'll explain how to release the parking brake.,パーキングブレーキの解除方法を説明します。,I'll explain,how to,release,the parking brake,sound_phrase_168.mp3,15
169,"When you hear the parking pedal clicking, leave your left foot slowly.",パーキングブレーキがカチッと鳴ったら、ゆっくりと左足をどけてください。,when you hear,the parking pedal,"clicking, leave your left",foot slowly,sound_phrase_169.mp3,15
170,Pull the lever to the fullest while stepping the brake pedal.,ブレーキペダルを踏みながらレバーをいっぱいまで引き上げてください。,pull,the lever to,the fullest while stepping,the brake pedal,sound_phrase_170.mp3,15
171,Pull down the lever with pushing the button on it while stepping the brake pedal.,ブレーキペダルを踏みながらレバーに付いているボタンを押しながら下げてください。,pull,down the lever with,pushing the button on it while,stepping the brake pedal,sound_phrase_171.mp3,15
172,Please read this document about meaning of warning light.,警告灯の意味についてはこちらの資料をお読みください。,please read,this document,about meaning,of warning light,sound_phrase_172.mp3,15
173,"When the accident happens, the casualty rate will increase if you don't fasten your seatbelt.",事故発生時にシートベルトを締めていない場合、死傷率が増加します。,when the accident,"happens, the casualty rate",will increase if you don't,fasten your seatbelt,sound_phrase_173.mp3,15
174,Fasten your seatbelt for all passengers and drive safety.,皆さんシートベルトを必ず締めて、安全運転で走行してください。,fasten,your seatbelt for,all passengers,and drive safety,sound_phrase_174.mp3,15
175,Have a nice day! ,いってらっしゃいませ。,have,a,nice,day,sound_phrase_175.mp3,15
176,Thank you so much for renting.,ご利用ありがとうございました。,thank you,so much,for,renting,sound_phrase_176.mp3,16
177,Have you filled up the fuel? ,燃料は満タンにしていただけましたでしょうか？,have,you,filled up,the fuel?,sound_phrase_177.mp3,16
178,"Now, let me check scratches on the car and anything left behind.",車両の状態確認と車内に忘れ物がないかどうか確認を致します。,"now, let me",check scratches on the,car and anything,left behind,sound_phrase_178.mp3,16
179,Please make sure not to forget anything.,忘れ物が無いよう十分に気をつけてください。,please,make sure not to,forget,anything,sound_phrase_179.mp3,16
180,Please return the ETC card.,ETCカードを回収させていただきます。,please,return,the,ETC card,sound_phrase_180.mp3,16
181,Could you come in the outlet?,店内までお願いいたします。,could you,come,in,the outlet?,sound_phrase_181.mp3,16
182,We can't make payment with this credit card. Do you have another one?,このクレジットカードでの精算ができません。他のクレジットカードはお持ちですか？,we can't,make payment with this credit card,do you,have another one?,sound_phrase_182.mp3,16
183,Could you show me your credit card again?,恐れ入りますが、再度クレジットカードのご提示をお願いいたします。,could you,show,me,your credit card again?,sound_phrase_183.mp3,16
184,We accept payment with non-installment.,一括で決済をさせていただきます。,we accept,payment,with,non-installment,sound_phrase_184.mp3,16
185,"Because you didn't fill up, please pay fuel charge based on the distance driven.",満タン返却ではありませんので走行距離に応じた燃料代をお支払いいただきます。,because you,"didn't fill up, please pay",fuel charge based on,the distance driven,sound_phrase_185.mp3,16
186,"Because of extending period, you have to pay extra charge.",利用期間延長のため延長料金のお支払いをお願い致します。,because of,"extending period, you",have to pay,extra charge,sound_phrase_186.mp3,16
187,"You returned earlier than original period, so we refund the fee. Please sign after checking.",当初の契約期間よりも早く返却されたので返金があります。確認後にサインをお願いいたします。,you returned earlier,than original period,so we refund the fee,please sign after checking,sound_phrase_187.mp3,16
188,We will reimbursed the charges which you have paid. Please show a receipts.,立て替えていただいた金額を返金いたしますので、レシートの提示をお願いいたします。,we will reimbursed,the charges which you,have paid. Please show,a receipts,sound_phrase_188.mp3,16
189,Was the illegal parking ticket placed on the vehicle during the renting period?,ご利用中、駐車違反の確認標章が取り付けられましたか？,was the,illegal parking ticket,placed on the vehicle,during the renting period?,sound_phrase_189.mp3,17
190,Did you pay the fine before returning?,返却前に反則金を支払いましたか？,did you,pay the,fine before,returning?,sound_phrase_190.mp3,17
191,Please show traffic violation notification and payment notice and receipt with date of receipt.,交通反則告知書と領収日付のある納付書・領収証書を提示してください。,please show,traffic violation notification and,payment notice and receipt,with date of receipt,sound_phrase_191.mp3,17
192,Please pay the illegal parking penalty because you didn't pay the fine.,反則金が未納のため、店舗で違約金をお支払いください。,please pay the,illegal parking,penalty because you,didn't pay the fine,sound_phrase_192.mp3,17
193,Could you sign here as confirmation of returning?,こちらに返却確認のサインをお願い致します。,could you,sign here,as,confirmation of returning?,sound_phrase_193.mp3,17
194,That's all for rental procedure.,以上で手続きは終了です。,that's,all,for,rental procedure,sound_phrase_194.mp3,17
195,Thank you very much. ,ありがとうございました。,thank,you,very,much,sound_phrase_195.mp3,17
196,We are looking forward to serving you again.,またのご利用お待ちしております。,we are,looking forward to,serving you,again,sound_phrase_196.mp3,17
197,It takes about 10 minutes to airport. Please wait 5 minutes until shuttle bus come.,空港までは約10分かかります。送迎バスの到着まで5分お待ちください。,it takes about,10 minutes to,airport. Please wait 5 minutes,until shuttle bus come,sound_phrase_197.mp3,17
198,It takes about 5 minutes by walk from this outlet to nearest station.,こちらの店舗から最寄駅まで徒歩で約5分かかります。,it takes about,5 minutes by walk from,this outlet to,nearest station,sound_phrase_198.mp3,17
199,We'll send you to airport/station/hotel by rent-a-car.,レンタカーで空港／駅／ホテルまでお送りいたします。,we'll send,you to,airport/station/hotel,by rent-a-car,sound_phrase_199.mp3,17
200,We're sorry. We don't offer sending service to airport/station/hotel.,申し訳ありませんが、空港／駅／ホテルへの送迎は行なっておりません。,we're sorry. We,don't offer,sending service,to airport/station/hotel,sound_phrase_200.mp3,17
201,There is a scratch on this vehicle. Did any accident was happened during your renting?,こちらにキズがあります。借り受け中に事故は発生しましたか？,there is a scratch on,this vehicle. Did any,accident was happened,during your renting?,sound_phrase_201.mp3,18
202,Do you have any injurys?,怪我はありますか？,do you,have,any,injurys?,sound_phrase_202.mp3,18
203,Where are the damaged areas?,事故の箇所はどこですか？,where,are,the damaged,areas?,sound_phrase_203.mp3,18
204,Was anyone involved in this accident?,事故に巻き込まれた人はいますか？,was,anyone,involved,in this accident?,sound_phrase_204.mp3,18
205,What did you hit?,何にぶつかりましたか？,what,did,you,hit?,sound_phrase_205.mp3,18
206,"Please fill in the ""What to Do After an Accident"".",もしも事故が起こったらに記入してください。,please fill,in,"the ""What to Do","After an Accident""",sound_phrase_206.mp3,18
207,"You must pay 20,000 yen as NOC, because we need to repair the car.",今回、お客様は事故を起こされたため、休業補償として、2万円お支払いただきます。,you must pay,"20,000 yen as NOC",because we need to,repair the car,sound_phrase_207.mp3,18
208,"You must pay 50,000 yen as NOC, because the car is not operable.",車両が自走不可能なため、休業補償として、5万円お支払いただきます。,you must pay,"50,000 yen as NOC",because the car,is not operable,sound_phrase_208.mp3,18
209,You don't need to pay NOC because you purchased NOC support plan.,ＮＯＣサポートプランにご加入されていましたので、ＮＯＣをお支払いいただく必要はありません。,you don't,need to pay NOC because you,purchased,NOC support plan,sound_phrase_209.mp3,18
210,You must pay the deductible because you didn't purchase the collision damage waiver.,免責補償制度に非加入でしたので、免責代をお支払いいただきます。,you must pay,the deductible because,you didn't purchase the,collision damage waiver,sound_phrase_210.mp3,18
211,You don't need to pay deductible because you have applied collision damage waiver at departure.,出発時、免責補償制度に加入していたため、免責額を支払う必要はございません。,you don't need to,pay deductible because you,have applied collision damage,waiver at departure,sound_phrase_211.mp3,18
212,I don't speak English. An English-speaker will take care of you. Please on the line.,私は英語が話せません。英語を話す人に代わります。少々お待ち下さい。,I don't speak,English. An English-speaker,will take care,of you. Please on the line,sound_phrase_212.mp3,19
213,An English-speaker will call you back.,英語を話す人からかけなおします。,an English-speaker,will call,you,back,sound_phrase_213.mp3,19
214,I will connect you to a translator. Please wait.,通訳につなぎますのでお待ちください。,I will,connect you,to a,translator. Please wait,sound_phrase_214.mp3,19
215,May I have your telephone number?,電話番号を教えてください。,may,I,have,your telephone number?,sound_phrase_215.mp3,19
216,Could you pass the phone to Japanese?,電話を日本人に代わっていただけますか？,could you,pass the,phone to,Japanese?,sound_phrase_216.mp3,19
217,I can speak English (a little). Please speak slowly.,私は英語を（少し）話せます。ゆっくりと話してください。,I can,speak English,(a little). Please,speak slowly,sound_phrase_217.mp3,19
218,"I will ask you some questions, please answer YES or NO.",幾つか質問をしますので、はいかいいえで答えてください。,I will ask,you some,"questions, please",answer YES or NO,sound_phrase_218.mp3,19
219,May I have your name and what is your license plate or type of car?,名前と車両ナンバーもしくは車種を教えてください。,may I have,your name and what is,your license plate or,type of car?,sound_phrase_219.mp3,19
220,"Was anyone injured? If yes, did you call 119?",けが人はいますか？もしそうであれば、119番への電話はしましたか？,was,anyone injured?,"if yes, did you",call 119?,sound_phrase_220.mp3,19
221,Did you have an accident and call 110?,事故ですか？また、110番への電話はしましたか？,did you have,an accident,and,call 110?,sound_phrase_221.mp3,19
222,"If you didn't call 119(110), please call now.",119（110）番へ電話していないのであれば、すぐに連絡を入れてください。,if you,didn't,"call 119(110), please",call now,sound_phrase_222.mp3,19
223,Please wait at safe place until the police come.,警察が来るまで、安全な場所でお待ちください。,please wait,at safe place until,the police,come,sound_phrase_223.mp3,19
224,Please do not settle privately.,その場で示談はしないでください。,please,do not,settle,privately,sound_phrase_224.mp3,19
225,Is the car operable?,車は自走することができますか？,is,the,car,operable?,sound_phrase_225.mp3,20
226,Please drive carefully and return to the outlet.,安全運転で店舗までお帰りください。,please drive,carefully and,return to,the outlet,sound_phrase_226.mp3,20
227,"We're very sorry, but we can't offer alternative car for you.",申し訳ありませんが代替車はご用意できません。,"we're very sorry,",but we can't,offer alternative car,for you,sound_phrase_227.mp3,20
228,Please use public transport or taxi from the scene.,現場からの移動は、公共交通機関やタクシーをご利用ください。,please,use,public transport or taxi,from the scene,sound_phrase_228.mp3,20
229,Please ask the police to arrange towing.,レッカーの手配を警察にお願いしてください,please,ask the police to,arrange,towing,sound_phrase_229.mp3,20
230,"When you get to a repair shop, please have Japanese person call to the outlet.",修理工場に着いたらその場の日本人から店舗に電話してもらってください。,when you get to,"a repair shop, please",have Japanese person,call to the outlet,sound_phrase_230.mp3,20
231,Please tell date and time you'll return to outlet because you must write accident report.,返却時に事故報告書を記入いただきますので、返却予定の日時を教えてください。,please tell date and,time you'll return to,outlet because you must,write accident report,sound_phrase_231.mp3,20
232,It takes about thirty minutes to write accident report. Please understand.,記入には約30分ほど時間がかかりますので、あらかじめご注意ください。,it takes,about thirty minutes,to write,accident report.Please understand,sound_phrase_232.mp3,20
233,"Depending on your plan, you may need to pay some charge when you return.",ご加入いただいたプランによってはご負担金が生じる場合もございます。,depending on your,"plan, you may",need to pay some,charge when you return,sound_phrase_233.mp3,20
