id,dialog,dialog_ja,dialog_ans,dialog_ans_ja,wrong_ans1,wrong_ans2,wrong_ans3,ques_file_name,ans_file_name,lesson_id
88,Where is the smoking area?,喫煙所はどこにありますか？,"This way, please./We don't have area in the outlet.",こちらへどうぞ。／店舗内に喫煙所はありません。,Please fill up with regular light oil.,It shows maximum speed.,Here is your receipt.,sound_dialog_ques_088.mp3,sound_dialog_ans_088.mp3,9
89,Where do I wait?,どこで待っていればいいですか？,Please have a seat./Please wait in the outlet.,椅子に座ってお待ちください。／店内でお待ちください。,You need to pay deductible.,Please make the rear seats to other arrangement.,Please pay the fine before return to the outlet.,sound_dialog_ques_089.mp3,sound_dialog_ans_089.mp3,9
90,Where am I on this map?,私はこの地図のどこにいるのですか？,"Now, you are in here.",現在地はここです。,No. We can't offer it for you.,I'll receive it if you don't mind.,"You can get it at each country's embassy/consulate in Japan, or JAF.",sound_dialog_ques_090.mp3,sound_dialog_ans_090.mp3,9
91,How long do I wait?,どのくらい待てばいいですか？,Please wait about 10 minutes.,約10分ほどお待ちください。,They're in the ticket office.,We are looking forward to serving you again.,We can't offer optional equipment.,sound_dialog_ques_091.mp3,sound_dialog_ans_091.mp3,10
92,Please tell me the vehicle height.,車の高さを教えてください。,It's about one point eight meters.,約1.8メートルです。,Please return to outlet.,It may cause accident if you use the ETC lane.,This is your bill.,sound_dialog_ques_092.mp3,sound_dialog_ans_092.mp3,10
93,Please tell me the business hour of Shin-Osaka station north exit.,新大阪駅北口店の営業時間を教えてください。,The outlet run from eight a.m. to eight p.m./The outlet is around-the-clock service.,8時から20時までです。／24時間営業しています。,It takes about twenty minutes.,We're sorry. Please change button battery by youself.We refund the charge at returning.,You need to access Wi-Fi.,sound_dialog_ques_093.mp3,sound_dialog_ans_093.mp3,10
94,Can I return the car at the hotel?,ホテルで車を返すことはできますか？,Please return to outlet.,店舗への返却をお願いいたします。,It can get fifteen kilometers to a liter.,"If they're too large, they can't be loaded.","At returning, you need to pay illegal parking penalty.",sound_dialog_ques_094.mp3,sound_dialog_ans_094.mp3,10
95,Please help to find my lost thing.,物を無くしたので探すのを手伝ってください。,Could you describe it?,どんなものか説明してください。,It's about one point eight meters.,"Please pay 1500 yen without tax per one day./In this outlet, it's free.",Because you didn't call them.,sound_dialog_ques_095.mp3,sound_dialog_ans_095.mp3,10
96,Could you sent things left behind to our country?,忘れ物をしてしまったので自国まで送ってもらえますか？,Let me know your address. We send it carriage forward.,住所を教えてください。着払いでお送りいたします。,"This is optional system, but we recommend you to apply it for safety.",Do you have any question?,Please drive carefully.,sound_dialog_ques_096.mp3,sound_dialog_ans_096.mp3,10
97,Do you have any recommendation spots?,お勧めのスポットは何かありますか？,I recommend Ueno Zoo.,上野動物園をお勧めします。,We offer upper class of vehicle with same rental fee and condition.,I recommend this adventure story.,Please park the car in a parking lot.,sound_dialog_ques_097.mp3,sound_dialog_ans_097.mp3,10
98,How can I get to Masyu Lake by car?,摩周湖まで車でどのように向かったらいいですか？,Using highway is useful.,高速道路を利用したほうが便利です。,Please pay the toll in cash or credit card.,It'll be cloudy today.,Please ask the police to arrange towing.,sound_dialog_ques_098.mp3,sound_dialog_ans_098.mp3,10
99,How do I get to Narita airport?,成田空港へはどのように行けばいいですか？,Please take train/subway/bus.,電車／地下鉄／バスをご利用ください。,Please set with the knob or button.,You can get it at only designated institution in each countries.,Have a nice day.,sound_dialog_ques_099.mp3,sound_dialog_ans_099.mp3,10
100,How long does it takes to Tokyo Station by car？,東京駅まで車でどのくらい時間がかかりますか？,It takes one hours(minutes).,1時間（分）かかります。,You can tell the kind of fuel by the color of nozzle.,Please operate it like this way.,Please pay the toll in cash or credit card.,sound_dialog_ques_100.mp3,sound_dialog_ans_100.mp3,10
